session,subject,x_coord_original,y_coord_original,x_coord_aligned,y_coord_aligned,x_coord_difference,y_coord_difference,x_coord_corrected,y_coord_corrected,type
3,3,956,212,955,212,1,0,956,212,cold
4,3,960,210,959,216,1,-6,960,210,cold
1,4,792,176,794,183,-2,-7,792,176,inconsistent
2,4,807,182,799,181,8,1,807,182,inconsistent
1,4,833,192,835,201,-2,-9,833,192,both
3,4,830,205,833,204,-3,1,830,205,inconsistent
3,4,819,221,822,218,-3,3,819,221,inconsistent
4,4,819,213,822,222,-3,-9,819,213,inconsistent
1,7,592,107,603,143,-11,-36,592,107,inconsistent
4,7,608,67,605,143,3,-76,608,67,cold
1,7,640,119,650,156,-10,-37,640,119,inconsistent
4,7,656,80,653,159,3,-79,656,80,incongruous
2,7,915,111,885,134,30,-23,915,111,cold
4,7,882,38,881,136,1,-98,882,38,cold
3,7,899,167,894,157,5,10,899,167,incongruous
4,7,902,57,898,157,4,-100,902,57,inconsistent
3,7,933,230,925,214,8,16,933,230,inconsistent
4,7,926,120,922,219,4,-99,926,120,inconsistent
3,7,963,172,954,157,9,15,963,172,inconsistent
4,7,958,57,958,160,0,-103,958,57,inconsistent
1,8,532,220,537,219,-5,1,532,220,inconsistent
4,8,536,216,542,216,-6,0,536,216,inconsistent
2,8,306,196,304,202,2,-6,306,196,inconsistent
4,8,295,203,302,198,-7,5,295,203,inconsistent
1,9,299,159,408,160,-109,-1,299,159,cold
3,9,295,160,405,156,-110,4,295,160,cold
