299,203,incongruous
318,186,inconsistent
331,128,inconsistent
338,148,cold
375,108,cold
411,104,cold
415,133,warm
452,120,incongruous
478,111,inconsistent
502,124,cold
540,176,cold
556,142,inconsistent
592,107,inconsistent
607,127,inconsistent
640,119,inconsistent
706,145,inconsistent
711,102,cold
738,183,incongruous
765,118,warm
810,181,warm
842,179,both
861,179,inconsistent
887,101,cold
891,137,inconsistent
894,170,inconsistent
907,102,incongruous
929,170,warm
935,121,inconsistent
